workload,ops,goroutines,depth,bufsize,blockprofilerate,run,ms
chan,100000,12,16,128,0,1,26.111602
chan,100000,12,16,128,0,2,24.330099
chan,100000,12,16,128,0,3,25.564551
chan,100000,12,16,128,0,4,21.197282
chan,100000,12,16,128,0,5,25.208467
chan,100000,12,16,128,0,6,24.942660
chan,100000,12,16,128,0,7,25.745805
chan,100000,12,16,128,0,8,25.952320
chan,100000,12,16,128,0,9,25.502639
chan,100000,12,16,128,0,10,25.505424
chan,100000,12,16,128,0,11,19.021869
chan,100000,12,16,128,0,12,24.093446
chan,100000,12,16,128,0,13,25.470600
chan,100000,12,16,128,0,14,24.750474
chan,100000,12,16,128,0,15,25.318373
chan,100000,12,16,128,0,16,24.801701
chan,100000,12,16,128,0,17,25.410303
chan,100000,12,16,128,0,18,23.951828
chan,100000,12,16,128,0,19,25.501909
chan,100000,12,16,128,0,20,25.479501
chan,100000,12,16,128,1,1,28.818918
chan,100000,12,16,128,1,2,27.955490
chan,100000,12,16,128,1,3,27.657836
chan,100000,12,16,128,1,4,28.679312
chan,100000,12,16,128,1,5,28.240668
chan,100000,12,16,128,1,6,27.620967
chan,100000,12,16,128,1,7,25.435637
chan,100000,12,16,128,1,8,28.245240
chan,100000,12,16,128,1,9,24.528563
chan,100000,12,16,128,1,10,27.792067
chan,100000,12,16,128,1,11,28.284682
chan,100000,12,16,128,1,12,28.398926
chan,100000,12,16,128,1,13,28.064085
chan,100000,12,16,128,1,14,27.722551
chan,100000,12,16,128,1,15,27.945585
chan,100000,12,16,128,1,16,27.936740
chan,100000,12,16,128,1,17,27.591487
chan,100000,12,16,128,1,18,28.128410
chan,100000,12,16,128,1,19,27.597430
chan,100000,12,16,128,1,20,27.567145
chan,100000,12,16,128,10,1,27.021942
chan,100000,12,16,128,10,2,27.381591
chan,100000,12,16,128,10,3,27.646931
chan,100000,12,16,128,10,4,26.951227
chan,100000,12,16,128,10,5,28.278806
chan,100000,12,16,128,10,6,27.964904
chan,100000,12,16,128,10,7,28.244240
chan,100000,12,16,128,10,8,27.615860
chan,100000,12,16,128,10,9,28.215444
chan,100000,12,16,128,10,10,27.167347
chan,100000,12,16,128,10,11,27.595361
chan,100000,12,16,128,10,12,27.618797
chan,100000,12,16,128,10,13,27.547148
chan,100000,12,16,128,10,14,27.300065
chan,100000,12,16,128,10,15,27.808355
chan,100000,12,16,128,10,16,27.218818
chan,100000,12,16,128,10,17,27.017832
chan,100000,12,16,128,10,18,27.885908
chan,100000,12,16,128,10,19,26.738916
chan,100000,12,16,128,10,20,27.247155
chan,100000,12,16,128,100,1,27.034945
chan,100000,12,16,128,100,2,28.234691
chan,100000,12,16,128,100,3,27.598459
chan,100000,12,16,128,100,4,27.291299
chan,100000,12,16,128,100,5,27.678947
chan,100000,12,16,128,100,6,27.056659
chan,100000,12,16,128,100,7,28.539225
chan,100000,12,16,128,100,8,27.786019
chan,100000,12,16,128,100,9,27.309631
chan,100000,12,16,128,100,10,27.551574
chan,100000,12,16,128,100,11,27.652476
chan,100000,12,16,128,100,12,27.467752
chan,100000,12,16,128,100,13,24.288803
chan,100000,12,16,128,100,14,27.395383
chan,100000,12,16,128,100,15,24.060403
chan,100000,12,16,128,100,16,28.417372
chan,100000,12,16,128,100,17,27.703919
chan,100000,12,16,128,100,18,27.478132
chan,100000,12,16,128,100,19,23.975185
chan,100000,12,16,128,100,20,27.867348
chan,100000,12,16,128,1000,1,27.918440
chan,100000,12,16,128,1000,2,27.861850
chan,100000,12,16,128,1000,3,26.594190
chan,100000,12,16,128,1000,4,27.599727
chan,100000,12,16,128,1000,5,27.658375
chan,100000,12,16,128,1000,6,27.025214
chan,100000,12,16,128,1000,7,27.803807
chan,100000,12,16,128,1000,8,27.876512
chan,100000,12,16,128,1000,9,27.634843
chan,100000,12,16,128,1000,10,27.179596
chan,100000,12,16,128,1000,11,27.866468
chan,100000,12,16,128,1000,12,27.517947
chan,100000,12,16,128,1000,13,27.595231
chan,100000,12,16,128,1000,14,28.281941
chan,100000,12,16,128,1000,15,27.365247
chan,100000,12,16,128,1000,16,27.375731
chan,100000,12,16,128,1000,17,27.552872
chan,100000,12,16,128,1000,18,27.886964
chan,100000,12,16,128,1000,19,27.468668
chan,100000,12,16,128,1000,20,27.491871
chan,100000,12,16,128,10000,1,27.505759
chan,100000,12,16,128,10000,2,28.449661
chan,100000,12,16,128,10000,3,27.502533
chan,100000,12,16,128,10000,4,28.213946
chan,100000,12,16,128,10000,5,28.175616
chan,100000,12,16,128,10000,6,28.522483
chan,100000,12,16,128,10000,7,23.045822
chan,100000,12,16,128,10000,8,27.745446
chan,100000,12,16,128,10000,9,28.315042
chan,100000,12,16,128,10000,10,27.612150
chan,100000,12,16,128,10000,11,27.724441
chan,100000,12,16,128,10000,12,28.278531
chan,100000,12,16,128,10000,13,27.564547
chan,100000,12,16,128,10000,14,27.545289
chan,100000,12,16,128,10000,15,28.498775
chan,100000,12,16,128,10000,16,28.194233
chan,100000,12,16,128,10000,17,28.042158
chan,100000,12,16,128,10000,18,27.733760
chan,100000,12,16,128,10000,19,23.489180
chan,100000,12,16,128,10000,20,27.867968
chan,100000,12,16,128,100000,1,28.688822
chan,100000,12,16,128,100000,2,28.172282
chan,100000,12,16,128,100000,3,28.431106
chan,100000,12,16,128,100000,4,28.655976
chan,100000,12,16,128,100000,5,23.034884
chan,100000,12,16,128,100000,6,28.475143
chan,100000,12,16,128,100000,7,27.949890
chan,100000,12,16,128,100000,8,28.711835
chan,100000,12,16,128,100000,9,28.264331
chan,100000,12,16,128,100000,10,28.390331
chan,100000,12,16,128,100000,11,27.687716
chan,100000,12,16,128,100000,12,28.300156
chan,100000,12,16,128,100000,13,28.252632
chan,100000,12,16,128,100000,14,28.841992
