workload,ops,goroutines,depth,bufsize,blockprofilerate,run,ms
mutex,100000,12,16,0,0,1,29.481743
mutex,100000,12,16,0,0,2,64.981968
mutex,100000,12,16,0,0,3,71.225005
mutex,100000,12,16,0,0,4,26.598263
mutex,100000,12,16,0,0,5,71.346102
mutex,100000,12,16,0,0,6,66.791153
mutex,100000,12,16,0,0,7,53.891499
mutex,100000,12,16,0,0,8,26.243254
mutex,100000,12,16,0,0,9,27.321912
mutex,100000,12,16,0,0,10,64.837004
mutex,100000,12,16,0,0,11,28.869833
mutex,100000,12,16,0,0,12,70.419986
mutex,100000,12,16,0,0,13,26.800051
mutex,100000,12,16,0,0,14,28.762552
mutex,100000,12,16,0,0,15,68.862563
mutex,100000,12,16,0,0,16,28.268888
mutex,100000,12,16,0,0,17,67.820938
mutex,100000,12,16,0,0,18,60.191464
mutex,100000,12,16,0,0,19,61.489725
mutex,100000,12,16,0,0,20,64.336018
mutex,100000,12,16,0,1,1,27.558063
mutex,100000,12,16,0,1,2,28.563366
mutex,100000,12,16,0,1,3,50.521958
mutex,100000,12,16,0,1,4,65.939789
mutex,100000,12,16,0,1,5,71.292054
mutex,100000,12,16,0,1,6,28.796405
mutex,100000,12,16,0,1,7,65.823001
mutex,100000,12,16,0,1,8,65.036006
mutex,100000,12,16,0,1,9,67.493915
mutex,100000,12,16,0,1,10,28.195525
mutex,100000,12,16,0,1,11,26.548047
mutex,100000,12,16,0,1,12,25.734542
mutex,100000,12,16,0,1,13,59.190937
mutex,100000,12,16,0,1,14,26.707277
mutex,100000,12,16,0,1,15,58.322326
mutex,100000,12,16,0,1,16,25.314789
mutex,100000,12,16,0,1,17,26.117217
mutex,100000,12,16,0,1,18,27.588631
mutex,100000,12,16,0,1,19,63.444914
mutex,100000,12,16,0,1,20,26.786655
mutex,100000,12,16,0,10,1,71.042121
mutex,100000,12,16,0,10,2,27.277524
mutex,100000,12,16,0,10,3,72.126652
mutex,100000,12,16,0,10,4,63.780772
mutex,100000,12,16,0,10,5,68.194342
mutex,100000,12,16,0,10,6,72.069938
mutex,100000,12,16,0,10,7,73.937514
mutex,100000,12,16,0,10,8,65.037730
mutex,100000,12,16,0,10,9,58.584139
mutex,100000,12,16,0,10,10,29.730974
mutex,100000,12,16,0,10,11,62.620640
mutex,100000,12,16,0,10,12,72.795449
mutex,100000,12,16,0,10,13,72.485216
mutex,100000,12,16,0,10,14,59.744647
mutex,100000,12,16,0,10,15,26.081060
mutex,100000,12,16,0,10,16,60.495572
mutex,100000,12,16,0,10,17,60.215881
mutex,100000,12,16,0,10,18,31.849261
mutex,100000,12,16,0,10,19,29.160064
mutex,100000,12,16,0,10,20,63.503005
mutex,100000,12,16,0,100,1,71.726513
mutex,100000,12,16,0,100,2,57.622091
mutex,100000,12,16,0,100,3,58.015099
mutex,100000,12,16,0,100,4,31.634526
mutex,100000,12,16,0,100,5,66.408900
mutex,100000,12,16,0,100,6,30.377659
mutex,100000,12,16,0,100,7,59.121475
mutex,100000,12,16,0,100,8,73.506908
mutex,100000,12,16,0,100,9,64.437938
mutex,100000,12,16,0,100,10,29.725171
mutex,100000,12,16,0,100,11,30.907742
mutex,100000,12,16,0,100,12,68.262835
mutex,100000,12,16,0,100,13,29.043563
mutex,100000,12,16,0,100,14,27.501299
mutex,100000,12,16,0,100,15,30.521881
mutex,100000,12,16,0,100,16,28.460338
mutex,100000,12,16,0,100,17,63.495574
mutex,100000,12,16,0,100,18,69.051772
mutex,100000,12,16,0,100,19,29.098613
mutex,100000,12,16,0,100,20,60.169193
mutex,100000,12,16,0,1000,1,26.423443
mutex,100000,12,16,0,1000,2,66.274035
mutex,100000,12,16,0,1000,3,59.944920
mutex,100000,12,16,0,1000,4,28.083331
mutex,100000,12,16,0,1000,5,25.816190
mutex,100000,12,16,0,1000,6,73.379577
mutex,100000,12,16,0,1000,7,64.675522
mutex,100000,12,16,0,1000,8,72.039504
mutex,100000,12,16,0,1000,9,55.506850
mutex,100000,12,16,0,1000,10,62.174605
mutex,100000,12,16,0,1000,11,28.170245
mutex,100000,12,16,0,1000,12,59.736674
mutex,100000,12,16,0,1000,13,24.913284
mutex,100000,12,16,0,1000,14,28.439871
mutex,100000,12,16,0,1000,15,28.219737
mutex,100000,12,16,0,1000,16,63.872810
mutex,100000,12,16,0,1000,17,26.118665
mutex,100000,12,16,0,1000,18,28.458278
mutex,100000,12,16,0,1000,19,31.192746
mutex,100000,12,16,0,1000,20,63.194074
mutex,100000,12,16,0,10000,1,72.017871
mutex,100000,12,16,0,10000,2,32.070615
mutex,100000,12,16,0,10000,3,65.879795
mutex,100000,12,16,0,10000,4,73.240304
mutex,100000,12,16,0,10000,5,71.604741
mutex,100000,12,16,0,10000,6,30.864017
mutex,100000,12,16,0,10000,7,27.312588
mutex,100000,12,16,0,10000,8,55.428275
mutex,100000,12,16,0,10000,9,29.863193
mutex,100000,12,16,0,10000,10,62.445045
mutex,100000,12,16,0,10000,11,31.034914
mutex,100000,12,16,0,10000,12,64.872970
mutex,100000,12,16,0,10000,13,58.913241
mutex,100000,12,16,0,10000,14,58.598699
mutex,100000,12,16,0,10000,15,70.741212
mutex,100000,12,16,0,10000,16,66.813533
mutex,100000,12,16,0,10000,17,66.032206
mutex,100000,12,16,0,10000,18,26.937012
mutex,100000,12,16,0,10000,19,28.771020
mutex,100000,12,16,0,10000,20,59.246006
mutex,100000,12,16,0,100000,1,58.438973
mutex,100000,12,16,0,100000,2,28.344261
mutex,100000,12,16,0,100000,3,66.366290
mutex,100000,12,16,0,100000,4,63.088012
mutex,100000,12,16,0,100000,5,27.520340
mutex,100000,12,16,0,100000,6,72.498758
mutex,100000,12,16,0,100000,7,67.071729
mutex,100000,12,16,0,100000,8,30.131328
mutex,100000,12,16,0,100000,9,63.015351
mutex,100000,12,16,0,100000,10,33.043251
mutex,100000,12,16,0,100000,11,64.143913
mutex,100000,12,16,0,100000,12,67.067522
